,acc_phone_x,acc_phone_y,acc_phone_z,hr_watch_rate,bedtime_clock,avg_bedtime_clock,bedtime_90minutes,avg_bedtime_90minutes,labelUndefined,labelWake,labelN2,labelN1,labelN3,labelREM
1971-01-01 01:06:40.015622140,,0.3721055319767442,-0.12278206279069764,,,,,,1,0,0,0,0,0
1971-01-01 01:06:43.015622140,,0.3718903122093023,-0.11143263023255813,,,,,,1,0,0,0,0,0
1971-01-01 01:06:46.015622140,,0.3537351011627907,-0.10848928488372094,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:06:49.015622140,,0.35227368596491226,-0.11378648479532165,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:06:52.015622140,,0.3581682255813954,-0.10537497906976744,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:06:55.015622140,,0.3439611245614035,-0.10787080760233916,,,,,,1,0,0,0,0,0
1971-01-01 01:06:58.015622140,,0.3603903284883721,-0.11313620290697672,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:01.015622140,,0.3382522261627907,-0.13060920058139533,,,,,,1,0,0,0,0,0
1971-01-01 01:07:04.015622140,,0.5674234401162791,-0.09918913953488373,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:07.015622140,,0.37088610643274855,-0.10132541169590646,,0.0020387359836901123,-0.6258919469928644,0.021739130434782608,-0.6521739130434783,1,0,0,0,0,0
1971-01-01 01:07:10.015622140,,0.3656122970930232,-0.08998932790697674,,,,,,1,0,0,0,0,0
1971-01-01 01:07:13.015622140,,0.3650022965116279,-0.09661971860465116,86.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:16.015622140,,0.3699976157894737,-0.09986110409356726,,,,,,1,0,0,0,0,0
1971-01-01 01:07:19.015622140,,0.37316788372093024,-0.1003708953488372,79.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:22.015622140,,0.34906369593023256,-0.12154787151162788,79.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:25.015622140,,0.31361069825581395,-0.15175806162790695,,,,,,1,0,0,0,0,0
1971-01-01 01:07:28.015622140,,0.026956032163742708,0.053014295321637435,,,,,,1,0,0,0,0,0
1971-01-01 01:07:31.015622140,0.5031530668604651,0.6446828622093023,0.3821697639534884,81.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:34.015622140,0.4976059766081871,0.4750691064327485,0.6080531994152047,,,,,,1,0,0,0,0,0
1971-01-01 01:07:37.015622140,-0.272806475,0.6941609930232558,-0.4308579040697675,81.0,0.004077471967380225,-0.6238532110091743,0.043478260869565216,-0.6739130434782609,1,0,0,0,0,0
1971-01-01 01:07:40.015622140,0.3621021558139535,0.7060349930232558,-0.2099540162790698,81.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:43.015622140,,0.4342562134502924,-0.19906143450292396,,,,,,1,0,0,0,0,0
1971-01-01 01:07:46.015622140,0.5139452052325579,0.35380545581395345,-0.4184221639534884,,,,,,1,0,0,0,0,0
1971-01-01 01:07:49.015622140,0.33404425406976745,0.5383762098837209,-0.7184645180232558,82.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:52.015622140,-0.02077342383720929,0.7931089191860464,0.1686743767441861,82.0,,,,,1,0,0,0,0,0
1971-01-01 01:07:55.015622140,-0.297624465497076,0.9070556836257312,0.1073462994152047,82.0,,,,,1,0,0,0,0,0
